"Tag","HTML 5","HTML 4","XHTML"
"<abbr>","Yes","Yes","Yes"
"<address>","Yes","Yes","Yes"
"<area>","Yes","Yes","No"
"<base>","Yes","Yes","Yes"
"<bdi>","Yes","No","No"
"<bdo>","Yes","Yes","No"
"<cite>","Yes","Yes","Yes"
"<col>","Yes","Yes","No"
"<colgroup>","Yes","Yes","No"
"<datalist>","Yes","No","No"
"<del>","Yes","Yes","No"
"<dfn>","Yes","Yes","Yes"
"<dialog>","Yes","No","No"
"<fieldset>","Yes","Yes","Yes"
"<ins>","Yes","Yes","No"
"<kbd>","Yes","Yes","Yes"
"<legend>","Yes","Yes","Yes"
"<map>","Yes","Yes","No"
"<meter>","Yes","No","No"
"<noscript>","Yes","Yes","Yes"
"<output>","Yes","No","No"
"<param>","Yes","Yes","Yes"
"<progress>","Yes","No","No"
"<q>","Yes","Yes","Yes"
"<rp>","Yes","No","No"
"<rt>","Yes","No","No"
"<ruby>","Yes","No","No"
"<s>","Yes","Yes","No"
"<samp>","Yes","Yes","Yes"
"<source>","Yes","No","No"
"<track>","Yes","No","No"
"<u>","Yes","Yes","No"
"<var>","Yes","Yes","Yes"

"<acronym>","No","Yes","Yes"
"<applet>","No","Yes","No"
"<basefont>","No","Yes","No"
"<big>","No","Yes","Yes"
"<center>","No","Yes","No"
"<dir>","No","Yes","No"
"<frame>","No","No","No"
"<frameset>","No","Yes","No"
"<noframes>","No","Yes","No"
"<strike>","No","Yes","No"
"<tt>","No","Yes","Yes"
